aoi,date,fid,area_ha,mean_dnbr,pre_bright,post_bright,delta,decision
35SPB,2025-08-16,2,20.4,0.3414355005865958,2135.0,2421.3,0.134,eliminate
35SPB,2025-08-16,3,60.7,0.33109504104477255,2070.3,2300.7,0.111,eliminate
35SPB,2025-08-16,4,22.7,0.3563430518011057,2006.5,2473.3,0.233,eliminate
35SPB,2025-08-16,5,26.9,0.3347054233583727,2059.8,2202.2,0.069,eliminate
35SPB,2025-08-16,6,24.7,0.36784174075674886,1962.1,2456.3,0.252,eliminate
35SPB,2025-08-16,7,21.8,0.30324962509194414,2107.1,2428.2,0.152,eliminate
35SPB,2025-08-16,8,50.4,0.2953729423351487,2137.8,2444.1,0.143,eliminate
35SPB,2025-08-16,9,24.6,0.36443923230217923,1259.3,1231.0,-0.023,keep
35SPB,2025-08-16,10,25.5,0.46624459491397974,1756.9,3116.5,0.774,eliminate
35SPB,2025-08-18,0,33.7,0.4501332117784628,2019.4,2494.2,0.235,eliminate
35SPB,2025-08-18,1,21.8,0.3387941082701807,2000.0,2319.6,0.16,eliminate
35SPB,2025-08-18,2,21.0,0.395178555771561,1916.9,2474.4,0.291,eliminate
35SPB,2025-08-18,3,24.0,0.38990927978906864,1254.5,1230.4,-0.019,keep
35SPB,2025-08-18,4,25.2,0.4608555166371494,1761.7,3121.8,0.772,eliminate
35SPB,2025-08-19,0,32.3,0.44893195880447023,2008.6,2463.0,0.226,eliminate
35SPB,2025-08-19,1,28.3,0.31519324246337577,2103.1,2206.7,0.049,keep
35SPB,2025-08-21,0,46.8,0.3679196795990221,2014.7,2383.9,0.183,eliminate
35SPB,2025-08-21,1,29.8,0.2938234908611882,2110.9,2404.4,0.139,eliminate
35SPB,2025-08-21,2,29.8,0.33439763510885556,2001.1,2425.6,0.212,eliminate
35SPB,2025-08-21,3,24.3,0.38244230390458256,1254.0,1282.7,0.023,keep
35SPB,2025-08-21,4,28.9,0.42600594834386935,1824.6,2993.6,0.641,eliminate
35SPC,2025-08-16,0,25.5,0.4258810902745842,2067.7,2571.7,0.244,eliminate
35SPC,2025-08-16,1,30.0,0.3311282083269119,2023.7,2317.3,0.145,eliminate
35SPC,2025-08-16,2,22.1,0.2813248275154943,2053.2,2320.5,0.13,eliminate
35SPC,2025-08-16,3,22.4,0.35284910775765627,1997.3,2484.4,0.244,eliminate
35SPC,2025-08-16,4,28.9,0.34150706237461437,1984.2,2526.6,0.273,eliminate
35SPC,2025-08-16,5,24.4,0.35530925049844203,2258.1,2582.4,0.144,eliminate
35SPC,2025-08-16,6,67.6,0.44732236332980657,1862.8,1425.8,-0.235,keep
35SPC,2025-08-16,7,56.7,0.2867682184870587,2108.2,2388.8,0.133,eliminate
35SPC,2025-08-16,8,25.5,0.4722349594958161,1761.3,3131.6,0.778,eliminate
35SPC,2025-08-18,0,33.7,0.4383426031564431,2053.0,2533.3,0.234,eliminate
35SPC,2025-08-18,1,23.0,0.33916421171034433,2025.4,2379.4,0.175,eliminate
35SPC,2025-08-18,2,21.0,0.3486106834410815,2036.5,2330.0,0.144,eliminate
35SPC,2025-08-18,3,28.1,0.3371945548954862,2007.6,2491.3,0.241,eliminate
35SPC,2025-08-18,4,23.0,0.37505443951273626,1892.7,2538.8,0.341,eliminate
35SPC,2025-08-18,5,69.6,0.4607490616912744,1861.7,1450.8,-0.221,keep
35SPC,2025-08-18,6,25.0,0.4699224916681374,1759.1,3134.2,0.782,eliminate
35SPC,2025-08-18,7,22.3,0.6703217384837019,2405.6,2412.5,0.003,keep
35SPD,2025-08-16,0,24.1,0.1875535401099289,2108.9,1753.7,-0.168,keep
35SPD,2025-08-16,1,29.2,0.21317513761939139,2248.5,1809.6,-0.195,keep
35SPD,2025-08-18,0,23.6,0.19460963591505567,2036.7,1811.5,-0.111,keep
35SPD,2025-08-19,0,3.0,0.2753846418195889,1675.4,1783.0,0.064,eliminate
35SPD,2025-08-19,1,5.3,0.2207860364111133,2007.2,1636.5,-0.185,keep
35SPD,2025-08-19,2,3.6,0.26587001886877976,2282.6,1798.4,-0.212,keep
35SPD,2025-08-19,3,7.3,0.23838422569327264,1885.8,2413.1,0.28,eliminate
35SPD,2025-08-21,0,5.5,0.19446206616812842,1989.4,1638.5,-0.176,keep
35SPD,2025-08-21,1,3.1,0.25644282192585094,2199.7,1741.2,-0.208,keep
35SPD,2025-08-21,2,3.4,0.22402061037290766,1831.2,2362.3,0.29,eliminate
35SPD,2025-08-21,3,3.3,0.1582948159956525,2467.5,2062.3,-0.164,keep
35SPD,2025-08-21,4,4.7,0.16849006373225378,1772.3,1518.1,-0.143,keep
35SPD,2025-08-21,5,4.2,0.15939892015821483,2218.2,1842.4,-0.169,keep
35SPD,2025-08-21,6,11.4,0.18270532775191717,2247.5,1776.2,-0.21,keep
35SPD,2025-08-21,7,5.3,0.1771916306364139,2118.9,1659.6,-0.217,keep
35SPD,2025-08-21,8,5.3,0.33870620043845057,2438.5,1543.4,-0.367,keep
35SQA,2025-07-22,0,22.4,0.18616314294557598,2516.5,2759.3,0.096,eliminate
35SQA,2025-07-22,1,75.9,0.19481903508952703,2240.3,2233.4,-0.003,keep
35SQA,2025-08-13,0,4.9,0.3639457321266363,2840.8,2761.1,-0.028,keep
35SQA,2025-08-13,1,4.6,0.1534359521407335,1714.4,1926.9,0.124,eliminate
35SQA,2025-08-13,2,4.9,0.2957398499317618,1193.7,1248.2,0.046,keep
35SQA,2025-08-13,3,3.5,0.21761952161708004,1082.9,1108.0,0.023,keep
35SQA,2025-08-13,4,9.8,0.49274541239612024,1082.9,1082.9,-0.0,keep
35SQA,2025-08-13,5,6.0,0.2427791011809213,1992.8,2016.9,0.012,keep
35SQA,2025-08-13,6,4.3,0.2291371842146998,2008.8,2037.6,0.014,keep
35SQA,2025-08-13,7,4.9,0.22981918089357148,2699.0,2718.4,0.007,keep
35SQA,2025-08-13,8,4.0,0.2667191674697783,2278.2,2165.6,-0.049,keep
35SQA,2025-08-13,9,5.7,0.37450206922942664,1158.1,1113.9,-0.038,keep
35SQA,2025-08-13,10,8.3,0.26751122176341374,1449.0,1422.6,-0.018,keep
35SQA,2025-08-13,11,7.8,0.39474305389208436,1276.5,1197.6,-0.062,keep
35SQA,2025-08-13,12,3.2,0.1841984097724427,1214.8,1083.9,-0.108,keep
35SQA,2025-08-13,13,3.2,0.2626802440566796,2320.8,2302.4,-0.008,keep
35SQA,2025-08-13,14,8.6,0.2272985955818562,1412.1,1385.9,-0.019,keep
35SQA,2025-08-13,15,3.7,0.1988004435987446,988.3,1017.3,0.029,keep
35SQA,2025-08-13,16,4.0,0.2776373074641786,1495.8,1407.3,-0.059,keep
35SQA,2025-08-13,17,4.3,0.2570297109290104,1344.3,1143.1,-0.15,keep
35SQA,2025-08-13,18,4.0,0.22928601536597304,1050.5,1046.4,-0.004,keep
35SQB,2025-08-01,0,20.5,0.2758440621657453,2134.4,2125.7,-0.004,keep
35SQB,2025-08-11,0,20.2,0.2668405638986806,1975.9,2079.2,0.052,eliminate
35SQC,2025-08-08,0,44.0,0.23028161346926201,2333.4,2387.0,0.023,keep
35SQC,2025-08-11,0,46.8,0.18963549227148485,2385.2,2522.0,0.057,eliminate
35SQD,2025-08-08,0,33.6,0.3762155810416678,2540.6,1792.5,-0.294,keep
35SQD,2025-08-08,1,75.2,0.38594174344114324,1801.2,1934.7,0.074,eliminate
35SQD,2025-08-13,0,31.9,0.3031066912864113,2494.8,1979.4,-0.207,keep
35TME,2025-08-12,0,1173.7,0.525742009700125,1794.1,1279.6,-0.287,keep
35TME,2025-08-12,1,221.6,0.4124631377195597,2206.8,1554.6,-0.296,keep
35TME,2025-08-12,2,1121.0,0.5780822830157125,2052.4,1630.4,-0.206,keep
35TME,2025-08-12,3,930.5,0.5318797731099206,2075.2,1641.8,-0.209,keep
35TME,2025-08-12,4,26.8,0.38511873592508916,1993.7,1422.8,-0.286,keep
35TME,2025-08-12,5,2295.4,0.5115933027940467,1970.5,1390.1,-0.295,keep
35TME,2025-08-12,6,23.8,0.5663272404327361,2065.3,1547.8,-0.251,keep
35TME,2025-08-14,0,533.9,0.5373412096341027,1824.1,1332.4,-0.27,keep
35TME,2025-08-14,1,25.6,0.6251933142384573,1697.9,1300.1,-0.234,keep
35TME,2025-08-14,2,225.2,0.3751185980004755,2211.9,1586.0,-0.283,keep
35TME,2025-08-14,3,1164.8,0.5492534430465126,2059.9,1717.4,-0.166,keep
35TME,2025-08-14,4,942.4,0.4997243490397793,2080.7,1665.8,-0.199,keep
35TME,2025-08-14,5,27.2,0.4196788193054963,1388.0,1224.3,-0.118,keep
35TME,2025-08-14,6,23.7,0.34314749493981517,1996.2,1458.1,-0.27,keep
35TME,2025-08-14,7,2308.9,0.4712998223920929,1973.7,1418.5,-0.281,keep
35TME,2025-08-14,8,20.3,0.4532382098011938,2054.9,1581.4,-0.23,keep
35TME,2025-08-14,9,20.9,0.25829789659071356,1560.0,1442.3,-0.075,keep
35TME,2025-08-14,10,20.4,0.23300012669456208,1547.6,1546.3,-0.001,keep
35TME,2025-08-14,11,22.8,0.2354026421961967,1826.5,1435.7,-0.214,keep
35TME,2025-08-14,12,47.5,0.2550518987166183,1637.2,1551.9,-0.052,keep
35TNE,2025-07-30,0,557.0,0.47662782150453353,1909.7,1682.6,-0.119,keep
35TNE,2025-07-30,1,108.8,0.47483636928270573,1952.5,1277.5,-0.346,keep
35TNE,2025-07-30,2,23.8,0.47845060078901114,2123.4,1471.0,-0.307,keep
35TNE,2025-08-14,0,29.9,0.2471721531950444,1797.2,1605.8,-0.106,keep
35TNE,2025-08-14,1,22.1,0.25232622061484683,1940.4,1820.6,-0.062,keep
35TNE,2025-08-14,2,67.3,0.23955453759103493,1654.9,1575.2,-0.048,keep
35TNE,2025-08-14,3,29.7,0.2426257215505675,1738.7,1609.3,-0.074,keep
35TNE,2025-08-14,4,20.4,0.23613520699476723,1397.0,1342.1,-0.039,keep
35TNE,2025-08-14,5,21.7,0.311036894599902,1643.0,1711.5,0.042,keep
35TNE,2025-08-14,6,28.3,0.25118579540251246,1993.7,2030.9,0.019,keep
35TNE,2025-08-14,7,76.1,0.2706991528305676,1716.4,1586.7,-0.076,keep
35TNE,2025-08-14,8,20.3,0.27755833838450816,1807.7,1780.3,-0.015,keep
35TNE,2025-08-14,9,40.4,0.2312871355506819,2014.0,1642.2,-0.185,keep
35TNE,2025-08-14,10,21.1,0.2294595440631223,1773.5,1491.2,-0.159,keep
35TNE,2025-08-14,11,36.3,0.2487075981359861,1622.1,1441.9,-0.111,keep
35TNE,2025-08-14,12,24.6,0.2955544009663327,2300.6,1908.9,-0.17,keep
35TNE,2025-08-14,13,31.8,0.33420039517778793,2234.6,1508.4,-0.325,keep
35TPE,2025-08-11,0,4285.8,0.5768402754888294,1308.7,1087.5,-0.169,keep
