aoi,date,candidates,elim_landcover,elim_geometry,elim_burst,elim_transient,survivors,survivor_ha
36SWE,2025-08-12,11,6,3,0,0,3,9.7
36SWF,2025-08-05,28,15,2,0,15,6,788.8
36SWF,2025-08-08,1,1,0,0,1,0,0
36SWF,2025-08-12,14,7,1,0,0,7,808.5
36SWG,2025-08-08,877,846,230,783,289,0,0
36SWG,2025-08-12,1808,1692,349,1677,1144,0,0
36SWG,2025-08-13,714,697,185,653,0,0,0
36SWH,2025-08-08,1072,1014,196,949,445,9,1402.4
36SWH,2025-08-12,1553,1464,237,1392,814,11,884.5
36SWH,2025-08-13,834,797,161,738,0,12,797.9
36SXE,2025-06-20,2,0,0,0,2,0,0
36SXE,2025-06-21,2,2,0,0,2,0,0
36SXE,2025-07-13,1,0,0,0,0,1,3.5
36SXF,2025-08-07,544,530,38,486,11,0,0
36SXF,2025-08-09,1121,1062,111,895,57,1,27.7
36SXF,2025-08-12,1159,1094,110,917,0,1,26.5
36SXG,2025-08-05,867,513,38,781,758,13,523.4
36SXG,2025-08-09,495,405,35,435,116,5,178.7
36SXG,2025-08-12,406,370,35,349,0,1,52.3
36SYE,2025-08-07,144,105,10,135,74,1,30.2
36SYE,2025-08-09,69,56,7,64,19,2,59.2
36SYE,2025-08-12,98,72,6,89,0,6,340.6
36SYF,2025-08-05,487,466,36,405,22,1,20.4
36SYF,2025-08-09,1506,1422,118,1240,72,2,53.0
36SYF,2025-08-12,1743,1650,159,1424,0,3,82.0
36SYG,2025-08-22,792,783,54,713,684,1,107.6
36SYG,2025-08-25,188,181,17,170,188,0,0
36SYG,2025-08-27,12,4,1,0,0,8,62.0
37SBA,2025-07-28,956,760,76,855,461,1,50.9
37SBA,2025-08-09,942,915,83,847,106,0,0
37SBA,2025-08-12,1089,1075,86,961,0,1,21.8
37SBB,2025-07-23,2411,2173,118,2003,900,1,25.6
37SBB,2025-07-26,400,396,26,343,165,0,0
37SBB,2025-08-12,1873,1726,98,1499,0,10,1348.8
37SBV,2025-08-22,164,123,23,153,104,9,7920.7
37SBV,2025-08-27,78,57,6,71,15,7,5158.8
37SBV,2025-08-29,98,61,11,86,0,12,7820.0
konya,2026-09-09,1244,1208,224,1141,107,2,46.7
konya,2026-09-12,1352,1313,229,1210,291,3,147.4
konya,2026-09-14,1248,1211,232,1124,0,2,104.9
mugla,2026-09-05,3,1,1,0,3,0,0
mugla,2026-09-10,26,26,0,0,9,0,0
mugla,2026-09-12,20,20,0,0,0,0,0
